gene_id,condition,direction,endpoint_shift,recovery_shift,reversibility_index,persistence_breadth
AT3G11020,cold_high_light,up,1.090548909333334,0.5632681260000005,0.4835003536482071,2
AT3G11050,cold_high_light,up,1.5493253460000016,0.5394854760000003,0.6517932935178357,2
AT3G13784,cold_high_light,up,1.1232899306666662,0.8201119899999991,0.2699017701393732,3
AT3G14360,cold_high_light,up,1.2355060830000006,0.4791169780000004,0.6122099400460822,2
AT3G15353,cold_high_light,down,-0.6895483633333335,-0.5221210066666657,0.24280727149769477,1
AT3G15670,cold_high_light,up,1.1752441463333336,1.302987406000001,-0.10869508269002326,4
AT3G15720,cold_high_light,up,0.6109134676666663,0.3585796686666658,0.4130434379909297,1
AT3G16240,cold_high_light,down,-0.914161,-0.584043883333333,0.36111485467731286,1
AT3G16360,cold_high_light,up,0.37811780366666614,0.652618976666667,-0.7259673317101736,1
AT3G22840,cold_high_light,up,6.756858687666667,0.6251618306666673,0.907477444835752,3
AT3G24460,cold_high_light,up,1.0672257436666657,0.4013308269999998,0.6239494508245762,1
AT3G26520,cold_high_light,down,-0.598971116666668,-0.6205563599999984,-0.036037202350347464,1
AT3G27690,cold_high_light,down,-1.6403893833333338,-0.6526894533333341,0.6021130958510326,1
AT3G27880,cold_high_light,up,0.7026812186666662,0.35779428533333313,0.4908156418179984,1
AT3G29575,cold_high_light,up,0.5118474189999995,0.49019776233333356,0.04229709062314524,2
AT3G45590,cold_high_light,up,0.3962561483333342,0.3534407970000002,0.10804968330060427,1
AT3G46640,cold_high_light,up,1.267069223000001,0.509679193000002,0.5977495280066465,1
AT3G47470,cold_high_light,down,-0.4218757800000006,-0.8868796966666643,-1.102229468273014,1
AT3G50970,cold_high_light,up,1.4574107353333332,1.1874128886666675,0.18525858230686965,2
AT3G51860,cold_high_light,up,1.2098252413333341,0.5975023343333321,0.5061250882194921,6
AT3G53420,cold_high_light,down,-0.5676591533333326,-0.5662398566666678,0.0025002620997665037,1
AT3G54890,cold_high_light,down,-0.5590546766666691,-0.9150354533333367,-0.6367548497924786,1
AT3G55646,cold_high_light,down,-0.8406887516666668,-0.37179260333333364,0.5577523755417755,1
AT3G59350,cold_high_light,up,1.2179433850000008,0.3578348980000001,0.7061974288730999,1
AT3G61470,cold_high_light,down,-0.4102550133333338,-0.7851830866666685,-0.9138902905464414,1
AT3G62090,cold_high_light,up,0.4528467246666672,0.49823073300000065,-0.10021935869524023,1
AT3G62740,cold_high_light,up,0.839462578,0.3884107840000004,0.537310186089081,1
AT4G01130,cold_high_light,up,0.7735232533333312,0.4579961726666655,0.40790897921551805,1
AT4G01985,cold_high_light,up,3.1195099219999998,2.1519274986666668,0.31017129213456407,7
